"Day","Amdmt","OTU","baseMean","l2FC","SE","pvalue","padj"
1,1,"OTU.177",63.4357048914622,0.376303029231387,0.258089460307769,0.144831362712149,0.386547580026208
1,1,"OTU.1392",1.65142996184838,0.0991026804348816,0.36583048208474,0.786469621014613,0.916554208244721
1,1,"OTU.626",18.8400701946833,-0.00836700551782707,0.211397131259452,0.968428323133469,0.988578212812578
1,1,"OTU.7859",25.4647569202058,0.306475838026464,0.192936370383097,0.112177521035616,0.335844648513904
1,1,"OTU.672",31.459117599482,-0.13761719092347,0.255271423417638,0.589816864829107,0.811044135009331
1,1,"OTU.2833",28.3952424213873,-0.0726673929993399,0.146366858845499,0.619559770829487,0.827232923539928
1,1,"OTU.17",468.801722026085,-0.22504524019276,0.122204536939146,0.0655416291815442,0.242344838326535
1,1,"OTU.893",4.30908026474802,1.23711356398312,0.370857600068017,0.000850487349908522,0.0096950079710184
1,1,"OTU.96",86.610181735639,0.0247209874659527,0.142533453026175,0.86230566670911,0.950899653373985
1,1,"OTU.783",7.14258603652392,0.515867368306365,0.251498202014863,0.0402496970907819,0.179067405372378
1,1,"OTU.854",6.99685147735967,-0.43302243428879,0.310851949741702,0.163614276633083,0.413825457534951
1,1,"OTU.48",111.183058709846,0.18407146296791,0.211887970094101,0.384999923479403,0.669635002041939
1,1,"OTU.55",178.030166037269,-0.0284888076191968,0.125252380964551,0.820072891253908,0.931829213031527
1,1,"OTU.1060",14.1096755398324,-0.133975242273787,0.239302879084773,0.575577407432742,0.801949293776803
1,1,"OTU.442",38.1770925080491,1.20361218981111,0.248341919385235,1.25599770835988e-06,3.2098223023392e-05
1,1,"OTU.11",596.238918030823,-0.136789074280935,0.101871983350702,0.179351448442615,0.43802963723487
1,1,"OTU.299",455.849928209472,-0.0269772892151672,0.126061100007033,0.830545734515081,0.936851506641232
1,1,"OTU.77",87.1439596747952,0.14127091231378,0.161535993732128,0.381820120967402,0.665816829468729
1,1,"OTU.14",347.620316543613,0.208253754716745,0.126078963017824,0.0985809516343923,0.313079657523492
1,1,"OTU.427",177.889494170756,-0.0491019149810583,0.123038446397542,0.689835864588499,0.866610130509669
1,1,"OTU.90",160.682591962326,-0.37184005166734,0.152443811060998,0.0147200574772282,0.0880904389938436
1,1,"OTU.1800",94.9793643577781,0.0786653712730041,0.110249693638642,0.4755239862951,0.74183540815312
1,1,"OTU.133",24.2060009600235,0.800163055723185,0.292093244788973,0.00615496279861274,0.0472314164242597
1,1,"OTU.8",434.276387861754,0.813339123106006,0.239155262666674,0.000671685121115735,0.00796530598701618
1,1,"OTU.290",31.926778595842,-0.280278938160755,0.278081959579559,0.313502245301947,0.602902035993612
1,1,"OTU.564",7.01653537885219,-0.38562479660177,0.300808878512029,0.199856857163606,0.466824487648719
1,1,"OTU.63",106.139224639565,-0.0173688493832563,0.143793045700375,0.903856889546009,0.965489905886446
1,1,"OTU.47",205.961888513758,0.0697132990309117,0.104695256003906,0.505494997742902,0.758934305300473
1,1,"OTU.673",179.527722556164,0.689313890559503,0.217607033590316,0.00153649764836988,0.0158093994953639
1,1,"OTU.121",54.4019271440151,-0.100428673209405,0.194877545318768,0.606313734622395,0.820246280598262
1,1,"OTU.178",65.3732325008357,-0.222896004781442,0.17262932817947,0.196640327063747,0.463253586806682
1,1,"OTU.13",470.357006024915,-0.0687935961765588,0.0955791827323776,0.471675846257616,0.738306979692132
1,1,"OTU.397",20.216800328784,0.125383388277614,0.246286711910733,0.610685480742745,0.82257492496963
